epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,454.815,0.82831,0.78747,0.87682,0.70719,0.6978,0.77025,0.61318,0.86108,0.77236,0.84871,0.0005941,0.0005941,0.0005941
43,465.403,0.77675,0.72926,0.86374,0.64747,0.88789,0.77667,0.61498,0.86489,0.76786,0.85055,0.0005842,0.0005842,0.0005842
44,476.318,0.7441,0.72298,0.86388,0.68708,0.71733,0.77698,0.60726,0.85954,0.75022,0.85272,0.0005743,0.0005743,0.0005743
45,486.81,0.76124,0.70701,0.86181,0.6711,0.72617,0.77671,0.60466,0.8584,0.74195,0.85337,0.0005644,0.0005644,0.0005644
46,497.057,0.80171,0.73634,0.87906,0.68768,0.73278,0.78103,0.61661,0.84647,0.72457,0.85166,0.0005545,0.0005545,0.0005545
47,507.425,0.78722,0.757,0.89829,0.68811,0.73838,0.7759,0.60364,0.85917,0.71116,0.85705,0.0005446,0.0005446,0.0005446
48,517.85,0.78124,0.71497,0.85975,0.68811,0.73838,0.7759,0.60364,0.85917,0.71116,0.85705,0.0005347,0.0005347,0.0005347
49,528.42,0.76573,0.6939,0.85947,0.69435,0.73953,0.77886,0.61071,0.85103,0.70775,0.85242,0.0005248,0.0005248,0.0005248
50,539.024,0.79087,0.69464,0.86742,0.66318,0.88132,0.79792,0.63493,0.85009,0.71286,0.84611,0.0005149,0.0005149,0.0005149
51,549.483,0.74951,0.67848,0.86741,0.68257,0.8693,0.78552,0.62826,0.85766,0.71718,0.84625,0.000505,0.000505,0.000505
52,560.126,0.78183,0.71005,0.87903,0.69496,0.70941,0.77213,0.61302,0.87273,0.71446,0.85238,0.0004951,0.0004951,0.0004951
53,570.752,0.74517,0.68008,0.86269,0.69567,0.70961,0.77009,0.61538,0.9002,0.72207,0.85727,0.0004852,0.0004852,0.0004852
54,581.528,0.74688,0.67335,0.85763,0.64477,0.92071,0.77088,0.62037,0.89246,0.71985,0.85363,0.0004753,0.0004753,0.0004753
55,592.766,0.75719,0.68571,0.87818,0.64043,0.92006,0.77334,0.627,0.85134,0.71128,0.84779,0.0004654,0.0004654,0.0004654
56,603.709,0.75411,0.68391,0.86902,0.64043,0.92006,0.77334,0.627,0.85134,0.71128,0.84779,0.0004555,0.0004555,0.0004555
57,614.672,0.74981,0.65754,0.87573,0.66305,0.92839,0.77947,0.6336,0.83223,0.70111,0.84625,0.0004456,0.0004456,0.0004456
58,625.442,0.77258,0.68946,0.88005,0.73131,0.89704,0.7973,0.63905,0.83008,0.68852,0.84696,0.0004357,0.0004357,0.0004357
59,635.909,0.73018,0.65609,0.86418,0.72707,0.90818,0.79949,0.63457,0.83598,0.68116,0.8495,0.0004258,0.0004258,0.0004258
60,646.907,0.77171,0.67186,0.85692,0.74109,0.91282,0.80348,0.63778,0.86026,0.68604,0.85314,0.0004159,0.0004159,0.0004159
61,657.436,0.74849,0.64819,0.86238,0.74413,0.92086,0.80601,0.63721,0.86084,0.68513,0.85172,0.000406,0.000406,0.000406
62,668.059,0.71683,0.63991,0.86099,0.75733,0.91042,0.8101,0.63689,0.83313,0.67794,0.84603,0.0003961,0.0003961,0.0003961
63,678.722,0.73319,0.64029,0.87748,0.77341,0.91743,0.8035,0.63204,0.82092,0.66728,0.84517,0.0003862,0.0003862,0.0003862
64,689.009,0.72778,0.62067,0.84634,0.77341,0.91743,0.8035,0.63204,0.82092,0.66728,0.84517,0.0003763,0.0003763,0.0003763
65,699.618,0.75569,0.65785,0.86205,0.7682,0.91577,0.80257,0.62932,0.82647,0.66756,0.8464,0.0003664,0.0003664,0.0003664
